year,show_title,week_gross,avg_ticket,top_ticket,seats_sold,seats_in_theater,num_performances,capacity_filled
2022,Aladdin,"$1,188,639.17",$90.00,$199.50,"13,207","1,727",8,95.59%
2022,Aladdin,"$1,379,129.05",$101.89,$199.50,"13,536","1,727",8,97.97%
2022,American Buffalo,"$433,548.80",$98.24,$299.50,"4,413",751,8,73.45%
2022,Beetlejuice,"$1,019,501.50",$114.63,$249.00,"8,894","1,602",8,69.40%
2022,The Book of Mormon,"$947,843.90",$122.18,$0.00,"7,758","1,066",8,90.97%
2022,Chicago,"$763,452.49",$97.90,$207.00,"7,798","1,080",8,90.25%
2022,Come From Away,"$461,759.50",$86.70,$247.00,"5,326","1,046",8,63.65%
2022,Company,"$582,979.15",$106.27,$327.00,"5,486","1,046",8,65.56%
2022,Dear Evan Hansen,"$508,454.95",$92.90,$248.00,"5,473",984,8,69.52%
2022,for colored girls who have considered suicide/when the rainbow is enuf,"$300,666.34",$69.06,$223.00,"4,354",773,8,70.41%
2022,Funny Girl,"$1,178,026.75",$137.72,$0.00,"8,554","1,219",8,87.72%
2022,Girl From the North Country,"$308,134.24",$86.95,$197.00,"3,544",798,8,55.51%
2022,Hadestown,"$846,938.85",$118.52,$0.00,"7,146",918,8,97.30%
2022,Hamilton,"$2,191,718.00",$206.94,$449.00,"10,591","1,324",8,99.99%
2022,American Buffalo,"$424,384.00",$89.91,$299.50,"4,720",751,8,78.56%
2022,Beetlejuice,"$1,074,541.00",$114.46,$249.00,"9,388","1,602",8,73.25%
2022,The Book of Mormon,"$969,889.65",$117.28,$0.00,"8,270","1,066",8,96.97%
2022,Chicago,"$536,434.28",$88.51,$197.00,"6,061","1,080",8,70.15%
2022,Come From Away,"$496,142.48",$76.57,$247.00,"6,480","1,046",8,77.44%
2022,Company,"$758,452.06",$106.84,$327.00,"7,099","1,046",8,84.84%
2022,Dear Evan Hansen,"$619,214.00",$87.27,$248.00,"7,095",984,8,90.13%
2022,Funny Girl,"$743,212.80",$101.84,$0.00,"7,298","1,219",8,74.84%
2022,Hadestown,"$801,233.25",$111.16,$0.00,"7,208",918,8,98.15%
2022,Hamilton,"$2,152,841.00",$202.03,$449.00,"10,656","1,324",8,100.60%
2022,Harry Potter and the Cursed Child,"$1,493,705.10",$115.66,$276.50,"12,915","1,622",8,99.53%
2022,Into the Woods,"$1,380,760.25",$122.68,$0.00,"11,255","1,703",0,94.41%
2022,The Lion King,"$2,162,416.00",$161.00,$199.00,"13,431","1,696",8,98.99%
2022,Macbeth,"$728,171.32",$90.72,$473.00,"8,027","1,051",8,95.47%
2022,The Minutes,"$193,650.00",$71.48,$195.00,"2,709",667,7,58.02%
2022,Aladdin,"$1,247,349.95",$95.14,$199.50,"13,110","1,727",8,94.89%
2022,Aladdin,"$1,355,330.32",$99.86,$199.50,"13,572","1,727",8,98.23%
2022,Aladdin,"$1,273,005.65",$96.74,$199.50,"13,159","1,727",8,95.24%
2022,Hangmen,"$257,198.56",$91.99,$223.00,"2,796",802,8,43.58%
2022,Harry Potter and the Cursed Child,"$1,331,192.30",$116.96,$276.50,"11,382","1,622",8,87.72%
2022,How I Learned to Drive,"$160,548.00",$47.95,$299.00,"3,348",637,7,75.08%
2022,The Lion King,"$1,864,584.00",$142.88,$199.00,"13,050","1,696",8,96.18%
2022,Macbeth,"$995,270.20",$149.22,$497.00,"6,670","1,051",8,79.33%
2022,The Minutes,"$272,498.00",$87.40,$195.00,"3,118",667,8,58.43%
2022,MJ The Musical,"$1,402,897.40",$133.49,$250.00,"10,509","1,387",8,94.71%
2022,Moulin Rouge! The Musical,"$1,196,718.80",$124.88,$0.00,"9,583","1,300",8,92.14%
2022,The Music Man,"$3,274,285.64",$268.58,$597.00,"12,191","1,525",8,99.93%
2022,Paradise Square,"$229,336.70",$49.87,$248.00,"4,599",982,8,58.54%
2022,MJ The Musical,"$1,713,666.00",$154.29,$250.00,"11,107","1,387",8,100.10%
2022,Moulin Rouge! The Musical,"$1,106,690.65",$112.05,$0.00,"9,877","1,300",8,94.97%
2022,Mr. Saturday Night,"$684,966.00",$110.80,$299.00,"6,182","1,188",7,74.34%
2022,The Music Man,"$3,067,547.24",$256.78,$597.00,"11,946","1,525",8,97.92%
2022,Paradise Square,"$300,508.40",$70.23,$297.00,"4,279",982,8,54.47%
2022,The Phantom of the Opera,"$1,037,959.65",$94.45,$247.00,"10,989","1,605",8,85.58%
2022,Plaza Suite,"$1,045,850.90",$178.87,$549.00,"5,847",975,6,99.95%
2022,"POTUS: Or, Behind Every Great Dumbass Are Seven Women Trying to Keep Him Alive","$406,925.88",$73.49,$248.00,"5,537","1,451",8,47.70%
2022,SIX: The Musical,"$1,251,317.00",$154.48,$249.00,"8,100","1,031",8,98.21%
2022,A Strange Loop,"$854,406.96",$118.13,$397.00,"7,233",912,8,99.14%
2022,Tina: The Tina Turner Musical,"$716,065.00",$92.11,$249.00,"7,774","1,478",8,65.75%
2022,Wicked,"$1,826,026.00",$131.14,$260.00,"13,924","1,807",8,96.32%
2022,American Buffalo,"$468,820.70",$103.88,$299.50,"4,513",751,8,75.12%
2022,Beetlejuice,"$1,197,586.50",$117.48,$249.00,"10,194","1,602",8,79.54%
2022,The Book of Mormon,"$908,616.20",$120.92,$0.00,"7,514","1,066",8,88.11%
2022,Chicago,"$608,328.01",$90.85,$197.00,"6,696","1,080",8,77.50%
2022,Come From Away,"$552,032.50",$84.68,$247.00,"6,519","1,046",8,77.90%
2022,Company,"$727,178.49",$112.74,$327.00,"6,450","1,046",8,77.08%
2022,Dear Evan Hansen,"$600,482.15",$89.77,$248.00,"6,689",984,8,84.97%
2022,Funny Girl,"$1,131,489.85",$136.47,$0.00,"8,291","1,219",8,85.02%
2022,Girl From the North Country,"$342,227.54",$73.93,$197.00,"4,629",798,8,72.51%
2022,Hadestown,"$884,606.50",$120.93,$0.00,"7,315",918,8,99.61%
2022,Hamilton,"$2,230,433.00",$213.52,$449.00,"10,446","1,324",8,98.62%
2022,American Buffalo,"$442,645.94",$100.42,$299.50,"4,408",751,8,73.37%
2022,Beetlejuice,"$1,231,851.50",$118.14,$249.00,"10,427","1,602",8,81.36%
2022,The Book of Mormon,"$1,048,780.70",$125.42,$0.00,"8,362","1,066",8,98.05%
2022,Chicago,"$524,956.65",$89.52,$197.00,"5,864","1,080",8,67.87%
2022,Come From Away,"$545,263.14",$89.24,$247.00,"6,110","1,046",7,83.45%
2022,Company,"$823,686.19",$114.85,$327.00,"7,172","1,046",8,85.71%
2022,Dear Evan Hansen,"$636,061.05",$94.75,$248.00,"6,713",984,8,85.28%
2022,Funny Girl,"$1,071,617.93",$128.69,$0.00,"8,327","1,219",8,85.39%
2022,Hadestown,"$867,036.00",$119.00,$0.00,"7,286",918,8,99.21%
2022,Hamilton,"$2,273,932.00",$214.91,$449.00,"10,581","1,324",8,99.90%
2022,Harry Potter and the Cursed Child,"$1,572,901.35",$125.90,$276.50,"12,493","1,622",8,96.28%
2022,The Lion King,"$2,117,236.00",$156.55,$199.00,"13,524","1,696",8,99.68%
2022,Aladdin,"$1,080,376.79",$82.95,$199.50,"13,025","1,727",8,94.27%
2022,American Buffalo,"$555,265.40",$114.94,$299.50,"4,831",751,8,80.41%
2022,American Buffalo,"$460,041.96",$102.73,$299.50,"4,478",751,8,74.53%
2022,Beetlejuice,"$1,160,587.50",$117.59,$249.00,"9,870","1,602",8,77.01%
2022,The Book of Mormon,"$1,003,363.50",$124.49,$0.00,"8,060","1,066",8,94.51%
2022,Chicago,"$548,919.39",$89.18,$197.00,"6,155","1,080",8,71.24%
2022,Come From Away,"$592,763.50",$92.26,$247.00,"6,425","1,046",8,76.78%
2022,Company,"$640,297.03",$103.36,$327.00,"6,195","1,046",8,74.03%
2022,Dear Evan Hansen,"$587,266.80",$94.83,$248.00,"6,193",984,8,78.67%
2022,Funny Girl,"$1,116,695.25",$133.27,$0.00,"8,379","1,219",8,85.92%
2022,Girl From the North Country,"$274,733.50",$76.70,$197.00,"3,582",798,7,64.12%
2022,Hadestown,"$878,292.75",$121.26,$0.00,"7,243",918,8,98.62%
2022,Hamilton,"$2,190,665.00",$213.91,$449.00,"10,241","1,324",8,96.69%
2022,Hangmen,"$293,491.36",$91.83,$223.00,"3,196",802,8,49.81%
2022,Harry Potter and the Cursed Child,"$1,481,217.40",$123.40,$276.50,"12,003","1,622",8,92.50%
2022,How I Learned to Drive,"$288,289.00",$71.11,$299.00,"4,054",637,7,90.92%
2022,The Lion King,"$1,951,072.00",$145.89,$199.00,"13,374","1,696",8,98.57%
2022,The Phantom of the Opera,"$880,654.84",$95.39,$247.00,"9,232","1,605",8,71.90%
2022,Plaza Suite,"$1,576,899.55",$205.14,$549.00,"7,687",975,8,98.55%
2022,"POTUS: Or, Behind Every Great Dumbass Are Seven Women Trying to Keep Him Alive","$430,900.00",$77.17,$248.00,"5,584","1,451",8,48.10%
2022,SIX: The Musical,"$1,167,198.00",$152.10,$249.00,"7,674","1,031",8,93.04%
2022,A Strange Loop,"$685,772.13",$105.18,$347.00,"6,520",912,8,89.36%
2022,Take Me Out,"$658,210.15",$143.53,$299.00,"4,586",581,8,98.67%
2022,Tina: The Tina Turner Musical,"$747,930.50",$117.88,$249.00,"6,345","1,478",8,53.66%
2022,Wicked,"$1,691,594.00",$125.53,$260.00,"13,476","1,807",8,93.22%
2022,Hangmen,"$358,976.00",$94.87,$223.00,"3,784",802,8,58.98%
2022,Harry Potter and the Cursed Child,"$1,522,847.55",$124.23,$276.50,"12,258","1,622",8,94.47%
2022,The Lion King,"$1,947,145.00",$145.93,$199.00,"13,343","1,696",8,98.34%
2022,Macbeth,"$923,465.90",$131.75,$497.00,"7,009","1,051",8,83.36%
2022,The Minutes,"$272,135.00",$87.28,$195.00,"3,118",667,8,58.43%
2022,MJ The Musical,"$1,660,978.00",$150.04,$250.00,"11,070","1,387",8,99.77%
